SimID;Strategy;Strategy Label;Total Output;End WIP;Avg Cycle Time
601;original;Base Game;53;54;15,94
602;original;Base Game;55;65;14,11
603;original;Base Game;56;56;14,65
604;original;Base Game;46;45;16,5
605;original;Base Game;51;71;16,4
606;original;Base Game;53;50;14,35
607;original;Base Game;51;48;14,8
608;original;Base Game;55;53;13,89
609;original;Base Game;48;47;15,33
610;original;Base Game;53;55;14,94
611;original;Base Game;52;52;16,44
612;original;Base Game;52;61;14,75
613;original;Base Game;51;51;14,07
614;original;Base Game;58;52;13,91
615;original;Base Game;53;59;14,59
616;original;Base Game;51;49;15,27
617;original;Base Game;51;38;13,53
618;original;Base Game;55;34;13,68
619;original;Base Game;48;60;17,33
620;original;Base Game;52;48;15,25
621;original;Base Game;53;56;15
622;original;Base Game;44;65;16,12
623;original;Base Game;55;52;14,37
624;original;Base Game;51;56;16,53
625;original;Base Game;49;54;16,62
626;original;Base Game;54;47;14,72
627;original;Base Game;52;53;15,75
628;original;Base Game;55;57;15,42
629;original;Base Game;52;51;14,06
630;original;Base Game;51;53;14,53
631;original;Base Game;55;54;14,79
632;original;Base Game;53;48;15,24
633;original;Base Game;53;49;14,18
634;original;Base Game;55;53;15,68
635;original;Base Game;47;65;14,64
636;original;Base Game;51;64;15,4
637;original;Base Game;51;73;16,4
638;original;Base Game;52;54;14,88
639;original;Base Game;51;52;14,87
640;original;Base Game;46;66;17,9
641;original;Base Game;45;64;18,22
642;original;Base Game;56;43;15,1
643;original;Base Game;54;58;15,89
644;original;Base Game;49;64;14,15
645;original;Base Game;49;65;17,31
646;original;Base Game;51;68;16,8
647;original;Base Game;54;48;13,83
648;original;Base Game;53;46;13,29
649;original;Base Game;54;52;14,22
650;original;Base Game;58;45;14,18
651;original;Base Game;50;60;14,79
652;original;Base Game;49;49;15,23
653;original;Base Game;56;37;13,25
654;original;Base Game;53;57;15,35
655;original;Base Game;55;50;15,74
656;original;Base Game;44;58;18,62
657;original;Base Game;48;69;17,08
658;original;Base Game;52;68;15,38
659;original;Base Game;52;61;15,31
660;original;Base Game;60;51;15,04
661;original;Base Game;53;61;13,76
662;original;Base Game;47;66;17,55
663;original;Base Game;58;57;15
664;original;Base Game;50;68;16,21
665;original;Base Game;54;53;14,5
666;original;Base Game;56;57;15,9
667;original;Base Game;51;44;15,53
668;original;Base Game;52;50;14,75
669;original;Base Game;51;46;16
670;original;Base Game;50;61;17,14
671;original;Base Game;58;43;13,05
672;original;Base Game;53;60;15
673;original;Base Game;54;48;14,17
674;original;Base Game;57;46;13
675;original;Base Game;58;59;15,32
676;original;Base Game;55;63;14,79
677;original;Base Game;53;53;15,06
678;original;Base Game;55;48;14,68
679;original;Base Game;55;57;15,26
680;original;Base Game;53;51;14,94
681;original;Base Game;54;49;13,67
682;original;Base Game;46;63;17,3
683;original;Base Game;55;51;16,21
684;original;Base Game;56;56;14,55
685;original;Base Game;49;45;14,92
686;original;Base Game;57;55;15,05
687;original;Base Game;49;64;16,08
688;original;Base Game;53;47;14,88
689;original;Base Game;46;65;16,9
690;original;Base Game;56;52;15,8
691;original;Base Game;52;53;15,94
692;original;Base Game;51;58;16,07
693;original;Base Game;51;59;15,07
694;original;Base Game;55;49;13,05
695;original;Base Game;59;48;15,65
696;original;Base Game;55;63;15,47
697;original;Base Game;55;63;14,58
698;original;Base Game;55;52;15,21
699;original;Base Game;49;65;15
700;original;Base Game;58;59;14,86
701;original;Base Game;49;67;17,46
702;original;Base Game;51;70;16,6
703;original;Base Game;53;39;13
704;original;Base Game;58;49;14,77
705;original;Base Game;59;42;13,7
706;original;Base Game;53;59;14,29
707;original;Base Game;53;50;15,29
708;original;Base Game;51;53;15,13
709;original;Base Game;51;51;17,07
710;original;Base Game;49;64;16
711;original;Base Game;50;49;16,86
712;original;Base Game;54;49;15,11
713;original;Base Game;59;37;16,17
714;original;Base Game;54;47;14,5
715;original;Base Game;60;42;12,79
716;original;Base Game;48;58;16,5
717;original;Base Game;56;52;16,45
718;original;Base Game;52;55;16,06
719;original;Base Game;52;63;14,44
720;original;Base Game;56;53;15,7
721;original;Base Game;46;47;16,1
722;original;Base Game;53;45;12,06
723;original;Base Game;54;38;13,17
724;original;Base Game;50;53;16,71
725;original;Base Game;52;54;15,5
726;original;Base Game;53;55;15,24
727;original;Base Game;50;46;15,36
728;original;Base Game;55;50;15,95
729;original;Base Game;53;58;14,53
730;original;Base Game;59;60;14,48
731;original;Base Game;57;50;12
732;original;Base Game;58;54;13,41
733;original;Base Game;53;44;14,47
734;original;Base Game;48;67;17,5
735;original;Base Game;48;41;16,42
736;original;Base Game;59;59;14,22
737;original;Base Game;44;73;17,38
738;original;Base Game;46;58;16,6
739;original;Base Game;51;50;15,27
740;original;Base Game;46;76;17,4
741;original;Base Game;53;60;14,53
742;original;Base Game;53;46;14,94
743;original;Base Game;53;54;14,94
744;original;Base Game;57;57;13,38
745;original;Base Game;53;47;16,65
746;original;Base Game;54;45;14,94
747;original;Base Game;50;54;15,29
748;original;Base Game;51;55;15
749;original;Base Game;54;67;15,17
750;original;Base Game;52;59;15,31
751;original;Base Game;56;39;14,25
752;original;Base Game;50;54;15,21
753;original;Base Game;50;50;14,43
754;original;Base Game;58;45;15,45
755;original;Base Game;56;55;15,2
756;original;Base Game;50;60;15,93
757;original;Base Game;48;61;16,83
758;original;Base Game;50;51;16,5
759;original;Base Game;59;52;14,83
760;original;Base Game;49;69;16,31
761;original;Base Game;50;64;15,21
762;original;Base Game;50;50;15,79
763;original;Base Game;50;62;16,57
764;original;Base Game;57;52;15,57
765;original;Base Game;50;65;14,93
766;original;Base Game;48;62;16,17
767;original;Base Game;58;45;14,23
768;original;Base Game;49;49;13,46
769;original;Base Game;60;60;14,46
770;original;Base Game;55;45;14,68
771;original;Base Game;49;55;14,85
772;original;Base Game;52;64;15,56
773;original;Base Game;52;45;16,94
774;original;Base Game;56;51;14,2
775;original;Base Game;54;73;15
776;original;Base Game;52;56;16
777;original;Base Game;55;60;15,53
778;original;Base Game;59;44;14,65
779;original;Base Game;49;47;16,85
780;original;Base Game;46;62;17,2
781;original;Base Game;57;33;14,33
782;original;Base Game;54;50;16,06
783;original;Base Game;53;34;14,12
784;original;Base Game;54;55;15,61
785;original;Base Game;53;65;14,76
786;original;Base Game;51;57;15
787;original;Base Game;55;38;14,89
788;original;Base Game;55;54;15,21
789;original;Base Game;52;57;15,75
790;original;Base Game;53;67;16
791;original;Base Game;47;57;17
792;original;Base Game;55;43;15,47
793;original;Base Game;46;52;16,5
794;original;Base Game;47;67;17,36
795;original;Base Game;57;37;14,71
796;original;Base Game;52;56;15,44
797;original;Base Game;51;59;14,13
798;original;Base Game;52;49;15,62
799;original;Base Game;52;44;14,12
800;original;Base Game;52;51;16,12
801;original;Base Game;53;54;13,82
802;original;Base Game;51;43;14,93
803;original;Base Game;46;66;17,7
804;original;Base Game;55;45;12,89
805;original;Base Game;55;60;14,84
806;original;Base Game;54;57;16,22
807;original;Base Game;56;52;15,55
808;original;Base Game;51;52;15,73
809;original;Base Game;52;52;14,25
810;original;Base Game;58;57;13,86
811;original;Base Game;52;64;14,69
812;original;Base Game;56;47;15,3
813;original;Base Game;50;61;14,93
814;original;Base Game;44;63;18
815;original;Base Game;45;66;16,56
